time,X_NOSE,Y_NOSE,Z_NOSE,visibility_NOSE,X_LEFT_EYE_INNER,Y_LEFT_EYE_INNER,Z_LEFT_EYE_INNER,visibility_LEFT_EYE_INNER,X_LEFT_EYE,Y_LEFT_EYE,Z_LEFT_EYE,visibility_LEFT_EYE,X_LEFT_EYE_OUTER,Y_LEFT_EYE_OUTER,Z_LEFT_EYE_OUTER,visibility_LEFT_EYE_OUTER,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_RIGHT_EYE,Y_RIGHT_EYE,Z_RIGHT_EYE,visibility_RIGHT_EYE,X_RIGHT_EYE_OUTER,Y_RIGHT_EYE_OUTER,Z_RIGHT_EYE_OUTER,visibility_RIGHT_EYE_OUTER,X_LEFT_EAR,Y_LEFT_EAR,Z_LEFT_EAR,visibility_LEFT_EAR,X_RIGHT_EAR,Y_RIGHT_EAR,Z_RIGHT_EAR,visibility_RIGHT_EAR,X_MOUTH_LEFT,Y_MOUTH_LEFT,Z_MOUTH_LEFT,visibility_MOUTH_LEFT,X_MOUTH_RIGHT,Y_MOUTH_RIGHT,Z_MOUTH_RIGHT,visibility_MOUTH_RIGHT,X_LEFT_SHOULDER,Y_LEFT_SHOULDER,Z_LEFT_SHOULDER,visibility_LEFT_SHOULDER,X_RIGHT_SHOULDER,Y_RIGHT_SHOULDER,Z_RIGHT_SHOULDER,visibility_RIGHT_SHOULDER,X_LEFT_ELBOW,Y_LEFT_ELBOW,Z_LEFT_ELBOW,visibility_LEFT_ELBOW,X_RIGHT_ELBOW,Y_RIGHT_ELBOW,Z_RIGHT_ELBOW,visibility_RIGHT_ELBOW,X_LEFT_WRIST,Y_LEFT_WRIST,Z_LEFT_WRIST,visibility_LEFT_WRIST,X_RIGHT_WRIST,Y_RIGHT_WRIST,Z_RIGHT_WRIST,visibility_RIGHT_WRIST,X_LEFT_PINKY,Y_LEFT_PINKY,Z_LEFT_PINKY,visibility_LEFT_PINKY,X_RIGHT_PINKY,Y_RIGHT_PINKY,Z_RIGHT_PINKY,visibility_RIGHT_PINKY,X_LEFT_INDEX,Y_LEFT_INDEX,Z_LEFT_INDEX,visibility_LEFT_INDEX,X_RIGHT_INDEX,Y_RIGHT_INDEX,Z_RIGHT_INDEX,visibility_RIGHT_INDEX,X_LEFT_THUMB,Y_LEFT_THUMB,Z_LEFT_THUMB,visibility_LEFT_THUMB,X_RIGHT_THUMB,Y_RIGHT_THUMB,Z_RIGHT_THUMB,visibility_RIGHT_THUMB,X_LEFT_HIP,Y_LEFT_HIP,Z_LEFT_HIP,visibility_LEFT_HIP,X_RIGHT_HIP,Y_RIGHT_HIP,Z_RIGHT_HIP,visibility_RIGHT_HIP,X_LEFT_KNEE,Y_LEFT_KNEE,Z_LEFT_KNEE,visibility_LEFT_KNEE,X_RIGHT_KNEE,Y_RIGHT_KNEE,Z_RIGHT_KNEE,visibility_RIGHT_KNEE,X_LEFT_ANKLE,Y_LEFT_ANKLE,Z_LEFT_ANKLE,visibility_LEFT_ANKLE,X_RIGHT_ANKLE,Y_RIGHT_ANKLE,Z_RIGHT_ANKLE,visibility_RIGHT_ANKLE,X_LEFT_HEEL,Y_LEFT_HEEL,Z_LEFT_HEEL,visibility_LEFT_HEEL,X_RIGHT_HEEL,Y_RIGHT_HEEL,Z_RIGHT_HEEL,visibility_RIGHT_HEEL,X_LEFT_FOOT_INDEX,Y_LEFT_FOOT_INDEX,Z_LEFT_FOOT_INDEX,visibility_LEFT_FOOT_INDEX,X_RIGHT_FOOT_INDEX,Y_RIGHT_FOOT_INDEX,Z_RIGHT_FOOT_INDEX,visibility_RIGHT_FOOT_INDEX
0,0.117679134,-0.31636998,-0.60284156,0.9972915,0.1401025,-0.3558252,-0.5926964,0.99075973,0.14017075,-0.35747343,-0.5925751,0.9888632,0.1401074,-0.35724878,-0.5937973,0.9851466,0.11120248,-0.3663208,-0.5999262,0.9939678,0.11161169,-0.3659176,-0.6022639,0.99519354,0.11181894,-0.36673048,-0.60215074,0.99461174,0.17757788,-0.38090327,-0.47503826,0.9718151,0.04112398,-0.42612958,-0.5144097,0.99596596,0.12416746,-0.31200773,-0.5578369,0.9962464,0.08434609,-0.3228549,-0.5681555,0.9988224,0.19766375,-0.28251922,-0.3224807,0.99596393,-0.10057552,-0.2819008,-0.4195432,0.9990351,0.179499,-0.10759451,-0.2564136,0.9381642,-0.13915132,-0.062175523,-0.35590854,0.96839106,0.19625938,0.13467881,-0.3037616,0.6602028,-0.14916284,0.16728193,-0.37315086,0.81235087,0.20996025,0.21078402,-0.3304119,0.40348244,-0.1688928,0.24491012,-0.40184867,0.5834706,0.2050227,0.23827039,-0.36626384,0.44158688,-0.14118892,0.2229856,-0.43156728,0.63080263,0.1918925,0.16126809,-0.3168517,0.5064693,-0.1309959,0.17734253,-0.38939643,0.6749502,0.10163548,0.0005540103,0.022092516,0.9094303,-0.10091201,-0.0016357414,-0.020368224,0.9131356,0.019448243,0.32282674,0.13066886,0.14470041,-0.09288913,0.2410894,0.1121894,0.16035558,-0.03227619,0.5542383,0.43763322,0.009361018,-0.06756617,0.3746047,0.32828632,0.020091224,-0.034272112,0.5868194,0.4636284,0.009102569,-0.071234524,0.39900908,0.35100922,0.031614102,-0.051844604,0.6065633,0.32458764,0.008291261,-0.076370366,0.37391368,0.17065015,0.018303894
40.0,0.119391456,-0.32399333,-0.60500133,0.9975141,0.14184953,-0.3642408,-0.59497654,0.9915069,0.14203994,-0.36528444,-0.594757,0.9897748,0.14192127,-0.36530718,-0.5958021,0.98629457,0.11198027,-0.3743284,-0.6025163,0.99448305,0.11229997,-0.37398505,-0.6046826,0.99561775,0.112414755,-0.37481603,-0.6044518,0.99508464,0.17867748,-0.38881975,-0.47507167,0.97410643,0.040862203,-0.43399167,-0.51644474,0.9963374,0.12530273,-0.3187205,-0.5584961,0.996536,0.0848659,-0.32981268,-0.56973785,0.9989228,0.20023845,-0.2895724,-0.31984782,0.9960306,-0.10087464,-0.2869126,-0.4339651,0.9990955,0.19389719,-0.110622086,-0.23498198,0.934022,-0.14011289,-0.06459794,-0.38748085,0.96915597,0.21340284,0.13177258,-0.26149976,0.6543327,-0.15130867,0.15987308,-0.41161168,0.80809224,0.22394085,0.20953752,-0.28575137,0.40303653,-0.1690043,0.23124854,-0.43383837,0.5825156,0.21383229,0.23351179,-0.32049844,0.44094455,-0.14118296,0.22053076,-0.45961642,0.6305863,0.2063526,0.15761952,-0.27528083,0.50334334,-0.13407248,0.17243189,-0.42372432,0.6741035,0.102856494,0.0009187147,0.03202568,0.9045722,-0.10217088,-0.0036219403,-0.029960161,0.91150546,0.03784576,0.26838621,0.16473466,0.13572057,-0.08477914,0.18681283,0.11031626,0.15267,0.00428797,0.49012077,0.4567752,0.009384445,-0.067770794,0.34003463,0.3423061,0.020079242,-0.0010437437,0.5289327,0.48875594,0.00935847,-0.07309629,0.3713728,0.37717554,0.031586114,0.026111832,0.50311446,0.33439365,0.0085202,-0.076190986,0.33304897,0.19299595,0.018290814
80.0,0.122652546,-0.33179674,-0.59985715,0.9976992,0.14467095,-0.37291986,-0.59030384,0.9921394,0.14495139,-0.3736097,-0.5900243,0.990563,0.14476058,-0.37377107,-0.5908871,0.98727834,0.114383936,-0.3826503,-0.5982509,0.9949272,0.11455015,-0.38229564,-0.6003098,0.995988,0.11451405,-0.38307664,-0.5999543,0.9954956,0.17983796,-0.3994394,-0.46785858,0.97611475,0.04121107,-0.44365686,-0.51372975,0.9966669,0.12742049,-0.3268395,-0.55195695,0.9967777,0.08691137,-0.33787358,-0.56476444,0.9990103,0.20190519,-0.30077344,-0.30625203,0.9961226,-0.10085803,-0.29601622,-0.43307683,0.99915004,0.20317331,-0.1183779,-0.21513362,0.93039167,-0.14055201,-0.07122469,-0.3891446,0.969412,0.22249724,0.121486016,-0.24561104,0.6525923,-0.15299971,0.14708333,-0.41503155,0.7995038,0.23216948,0.2013173,-0.27338207,0.4055579,-0.16909856,0.21731716,-0.43601063,0.5768443,0.21998885,0.22243644,-0.3095154,0.443453,-0.14150523,0.21104841,-0.46150002,0.62595224,0.21524125,0.14714304,-0.260643,0.503498,-0.13644108,0.16056901,-0.42682523,0.6690821,0.103012,0.0012767201,0.039858203,0.8956741,-0.10232342,-0.00513963,-0.037815057,0.9062493,0.039997574,0.2593404,0.18627033,0.12600556,-0.08093743,0.17184003,0.11085713,0.14500105,0.006453504,0.478894,0.46557376,0.009244703,-0.0704157,0.32982746,0.34716982,0.02017477,0.0009211118,0.51879656,0.4981076,0.009501694,-0.077931955,0.36379147,0.38321742,0.031899955,0.03846835,0.48113552,0.33573475,0.008768432,-0.076021805,0.31645215,0.19288912,0.018240824
120.0,0.12807037,-0.3334706,-0.5995192,0.9978596,0.14932029,-0.37469175,-0.58982474,0.99269783,0.1496089,-0.37532422,-0.58952314,0.99126154,0.14938548,-0.37550902,-0.59035385,0.98813945,0.118529655,-0.38433728,-0.5979659,0.9953184,0.118588775,-0.3840115,-0.6000033,0.9963165,0.11843419,-0.3847671,-0.59964025,0.9958613,0.18225095,-0.40089172,-0.46634296,0.97789884,0.042382434,-0.44464964,-0.5137187,0.9969631,0.13169259,-0.32816944,-0.55139595,0.9969909,0.09097567,-0.33909884,-0.5646304,0.99908745,0.20547278,-0.3013619,-0.30327109,0.99618316,-0.100857,-0.29716483,-0.43396997,0.99919707,0.2066517,-0.11821745,-0.21378341,0.92748487,-0.14189352,-0.07148565,-0.39397806,0.97027177,0.22382994,0.12135412,-0.2447936,0.648673,-0.15573137,0.14811935,-0.42353585,0.7949935,0.2334524,0.20133969,-0.27082363,0.40566668,-0.17051473,0.2189204,-0.44563362,0.5747243,0.22086857,0.22195789,-0.306796,0.44357073,-0.14313453,0.21155456,-0.47189578,0.62451255,0.21649534,0.14689276,-0.2593206,0.5014608,-0.1394468,0.16145946,-0.43551615,0.6670564,0.103022896,0.0018216099,0.041715406,0.8927688,-0.10235362,-0.006067663,-0.03985849,0.90533763,0.04356686,0.2686223,0.19028701,0.1188502,-0.08125898,0.18413906,0.114202775,0.14033255,0.0065682004,0.48669842,0.46507278,0.009442792,-0.076629855,0.33420676,0.34673208,0.02104313,0.0015592998,0.5250585,0.49569675,0.010156289,-0.08406123,0.36510915,0.38036448,0.03376693,0.031579506,0.5021752,0.33711147,0.009238746,-0.07819952,0.31871644,0.19482905,0.018702025
160.0,0.13189855,-0.33284098,-0.59987247,0.9980156,0.15357901,-0.37399867,-0.59008723,0.99321795,0.15391363,-0.37470424,-0.58977723,0.9919107,0.15369654,-0.37485176,-0.59059423,0.9889365,0.122850746,-0.38370374,-0.59848934,0.9956771,0.12291096,-0.38336632,-0.6005008,0.99661416,0.122764684,-0.3841342,-0.6001255,0.99618804,0.18533611,-0.4004225,-0.46654555,0.9795359,0.045006894,-0.44453165,-0.51464117,0.9972287,0.13499783,-0.32769918,-0.55149597,0.99719197,0.09431583,-0.33867297,-0.56496495,0.999158,0.20671757,-0.3007751,-0.30389774,0.99624896,-0.09886606,-0.29759288,-0.43596944,0.9992391,0.20603275,-0.118001595,-0.2143937,0.92378336,-0.1409711,-0.07227179,-0.39371845,0.97047555,0.22314945,0.121709,-0.25035754,0.64488894,-0.15518558,0.14553721,-0.42072785,0.79020786,0.23281883,0.20149784,-0.2777445,0.40546146,-0.16881771,0.21706997,-0.44196787,0.57169586,0.22066061,0.22231336,-0.3136001,0.44332087,-0.14177473,0.2099374,-0.46877757,0.6220466,0.2157954,0.14709717,-0.26504624,0.49947703,-0.1392761,0.1588518,-0.43315694,0.6645505,0.103457294,0.0020414349,0.042853,0.8832494,-0.10278896,-0.0069614947,-0.040788077,0.89920866,0.04261166,0.2463733,0.18330206,0.11052763,-0.0815515,0.1520748,0.11006524,0.1320478,0.0066171805,0.46905792,0.46399936,0.009194324,-0.07969933,0.31463253,0.34609482,0.02041402,0.00096184266,0.5084646,0.49335092,0.0100425,-0.089310735,0.3472315,0.3809305,0.032797933,0.03406931,0.46821737,0.32952434,0.009176643,-0.08065251,0.29430622,0.19392632,0.018215442
200.0,0.13256444,-0.332373,-0.60173595,0.9981673,0.1543316,-0.37343854,-0.5917753,0.99372596,0.15467069,-0.37419358,-0.5914596,0.99252605,0.15445006,-0.3743225,-0.5922224,0.98972315,0.12363921,-0.38319913,-0.6004523,0.99602634,0.12372169,-0.38285956,-0.6024339,0.9969008,0.12356064,-0.38363108,-0.6020112,0.9965102,0.1859232,-0.399815,-0.46791136,0.98110014,0.045703445,-0.44406602,-0.5180086,0.99747854,0.13545668,-0.32729205,-0.5533607,0.99738944,0.09492515,-0.33827832,-0.5674542,0.9992257,0.20723788,-0.30054373,-0.30458102,0.99628156,-0.09856633,-0.2972081,-0.44302985,0.99928784,0.20679687,-0.11826316,-0.21195683,0.9214599,-0.14205663,-0.07249752,-0.40486944,0.9714146,0.22447528,0.12201375,-0.23466057,0.64281833,-0.15793398,0.14605723,-0.4282722,0.79045093,0.2340205,0.20161755,-0.25969592,0.40634087,-0.17107205,0.21698809,-0.44951344,0.5749121,0.22247562,0.22272807,-0.29497617,0.44399613,-0.14360021,0.20998466,-0.47522125,0.6254742,0.21739627,0.14742635,-0.24927217,0.49836123,-0.14208157,0.15932785,-0.4403357,0.6668511,0.10360671,0.0022743207,0.043842923,0.87885875,-0.10293234,-0.007612834,-0.04175384,0.89782465,0.04225318,0.253002,0.18607368,0.104899004,-0.079743825,0.16144425,0.10987269,0.1282354,0.007500906,0.4773473,0.46787897,0.009278988,-0.079802625,0.32219744,0.3455783,0.020951197,0.0017297139,0.51650244,0.49893922,0.010089468,-0.089582816,0.35111716,0.38013807,0.03309237,0.038152445,0.48007637,0.33022988,0.009599566,-0.08075974,0.30778134,0.19091405,0.0187407
240.0,0.13255814,-0.33390275,-0.60226285,0.9983178,0.15440986,-0.37483677,-0.5920528,0.9942207,0.15475011,-0.37560394,-0.5917389,0.99311894,0.15453315,-0.37574428,-0.592488,0.9904898,0.12389325,-0.3847209,-0.6008993,0.99636084,0.12402685,-0.38437077,-0.6028673,0.9971701,0.12387869,-0.38516662,-0.60242385,0.99681073,0.18585679,-0.40124103,-0.46804976,0.98256475,0.04581421,-0.4461,-0.51885957,0.9977076,0.13537364,-0.32909372,-0.55403936,0.99758327,0.09492621,-0.34019798,-0.5682683,0.99928993,0.20617855,-0.30193055,-0.30492258,0.9963371,-0.09829633,-0.29816526,-0.4432283,0.99933314,0.20584778,-0.122737445,-0.20582162,0.9185112,-0.1430008,-0.07785899,-0.40118358,0.9715304,0.22347304,0.11966522,-0.22419097,0.6369952,-0.15806368,0.13689555,-0.42728034,0.78804654,0.23341049,0.2000771,-0.24759728,0.40426296,-0.17100883,0.2082037,-0.44393405,0.5747764,0.22236206,0.22141026,-0.28173783,0.44177648,-0.14360847,0.19953343,-0.46804878,0.6256416,0.21660884,0.14507961,-0.23799421,0.49392694,-0.1422522,0.14947015,-0.43827915,0.66570014,0.10428134,0.0021967713,0.044570584,0.86627406,-0.1034778,-0.0077670044,-0.04226515,0.89121425,0.04283393,0.24716277,0.1824318,0.09924574,-0.07499108,0.14292726,0.09597624,0.12361416,0.0141684795,0.479766,0.46597877,0.009207327,-0.07662236,0.3229368,0.32365686,0.020938054,0.0068633673,0.52003574,0.4975193,0.0099376235,-0.08796607,0.35509396,0.3646817,0.032575287,0.056530975,0.4637828,0.3152329,0.009803133,-0.073754184,0.29443946,0.14593056,0.01896944
280.0,0.1326959,-0.33478832,-0.60262936,0.99843484,0.15469307,-0.37577182,-0.5923014,0.9945942,0.15505321,-0.37653327,-0.5919857,0.9935724,0.15484227,-0.37667668,-0.5927203,0.9910563,0.12418407,-0.3856162,-0.60137755,0.99662805,0.12435368,-0.38527098,-0.60331357,0.9973924,0.12420748,-0.38609505,-0.6028705,0.99706006,0.18582135,-0.40209478,-0.46816376,0.98368406,0.045839008,-0.44715697,-0.52025527,0.9979038,0.13538197,-0.33003405,-0.5543348,0.99772555,0.09497569,-0.3411791,-0.56885326,0.9993411,0.20611909,-0.30245805,-0.30526742,0.99627227,-0.09814756,-0.29830292,-0.44619066,0.99936664,0.20524713,-0.12392526,-0.2044904,0.91457075,-0.14303967,-0.077853955,-0.4028927,0.9716317,0.22295205,0.11889124,-0.22253884,0.627791,-0.15847395,0.13727741,-0.4242054,0.7837044,0.23281515,0.19936661,-0.24730136,0.3988925,-0.17123148,0.20763883,-0.44190153,0.5716095,0.22210139,0.22025456,-0.28121385,0.4359313,-0.14381333,0.20003147,-0.46667835,0.62266976,0.2160985,0.14397065,-0.23688313,0.48666137,-0.14295422,0.15001017,-0.43579835,0.6622161,0.105119094,0.0023353647,0.04478315,0.85531473,-0.10429623,-0.008396372,-0.042339936,0.88452774,0.042350225,0.2359384,0.18055151,0.09297967,-0.07520638,0.1301747,0.0886059,0.1167055,0.013892016,0.47263676,0.45099822,0.008937109,-0.076579936,0.31559122,0.32179782,0.020266565,0.006376842,0.51376975,0.485064,0.009596411,-0.08836007,0.3496409,0.36377984,0.03120079,0.051489037,0.45506683,0.29772097,0.009696919,-0.075132355,0.28609335,0.14718407,0.018621
320.0,0.13259444,-0.33459112,-0.6052991,0.99855036,0.15455756,-0.37554345,-0.59469146,0.9949809,0.15491624,-0.3763149,-0.5943765,0.99403596,0.15470785,-0.37645626,-0.595096,0.9916646,0.12407908,-0.3853799,-0.6039377,0.9968912,0.124255925,-0.38503826,-0.60584104,0.9976048,0.12411408,-0.38586292,-0.60536987,0.99729985,0.18560101,-0.40176186,-0.47031227,0.98486227,0.045669526,-0.4468586,-0.5229613,0.9980874,0.13529961,-0.32978153,-0.55706,0.9978761,0.09491139,-0.3409154,-0.5717372,0.9993914,0.20595719,-0.3021914,-0.30681652,0.9962612,-0.09827359,-0.29818287,-0.4487599,0.99939954,0.20476545,-0.12366423,-0.2064748,0.91101974,-0.14396821,-0.07761826,-0.40713978,0.9717671,0.22245982,0.11866906,-0.22839761,0.6207668,-0.15978207,0.13778897,-0.42829308,0.78017825,0.23239465,0.19842829,-0.25360817,0.39545873,-0.17222622,0.20750819,-0.44717452,0.5698764,0.2219094,0.21895988,-0.2879024,0.4323444,-0.1448737,0.19979744,-0.47217596,0.6213385,0.21567965,0.14368546,-0.2426815,0.48129746,-0.14437607,0.1504915,-0.4402741,0.66020095,0.10544845,0.002397246,0.044978816,0.8478429,-0.10461492,-0.008716987,-0.042491768,0.8809837,0.042053457,0.23869646,0.17980291,0.08867244,-0.0753441,0.13688228,0.09007147,0.11275134,0.013536508,0.47470656,0.45182037,0.008946604,-0.0770574,0.31911233,0.32321605,0.020266535,0.0061694607,0.51584536,0.4861687,0.00949666,-0.088995345,0.3506173,0.36662266,0.030757178,0.052625827,0.45976216,0.30122283,0.009912436,-0.07542252,0.29466772,0.15032071,0.018760167
360.0,0.13249601,-0.33441505,-0.6071277,0.9986377,0.15452574,-0.37533823,-0.59645766,0.9952638,0.1548874,-0.3761327,-0.596162,0.9943854,0.15467837,-0.3762639,-0.5968793,0.9920918,0.124052025,-0.38518384,-0.6056271,0.9970961,0.12423418,-0.38484046,-0.6075134,0.9977771,0.12409426,-0.38566384,-0.607047,0.99749315,0.18561532,-0.40160522,-0.47206885,0.9857218,0.045698415,-0.44663644,-0.5242802,0.99824363,0.13523218,-0.3296697,-0.5588743,0.99797255,0.09485627,-0.3407557,-0.5734082,0.9994298,0.20590371,-0.30202502,-0.30706707,0.99614227,-0.098148726,-0.29804218,-0.45022047,0.9994256,0.20440483,-0.12345457,-0.20780423,0.9057512,-0.14405909,-0.07743451,-0.40961885,0.9717196,0.2228796,0.11878466,-0.23044223,0.61144924,-0.15971477,0.13765518,-0.430194,0.7755248,0.23294404,0.19826567,-0.25636932,0.39008015,-0.17205735,0.20658004,-0.4488414,0.56633085,0.2228414,0.21899103,-0.2907336,0.4266506,-0.1447401,0.19909216,-0.4742578,0.618108,0.21621366,0.14384043,-0.24496092,0.47450262,-0.14427061,0.15029277,-0.44232905,0.65683824,0.10560864,0.0025056165,0.0460354,0.8403206,-0.10477646,-0.009055005,-0.043484967,0.87731135,0.04155648,0.23746817,0.18191805,0.08317045,-0.075551234,0.13671666,0.091270454,0.10792113,0.012432188,0.47207046,0.4553459,0.008766168,-0.0777072,0.31929946,0.32544756,0.019946957,0.0053188805,0.5134631,0.49005806,0.009292974,-0.09004393,0.35248062,0.36959818,0.030083481,0.049789682,0.45692194,0.30252412,0.009904378,-0.07702344,0.29550698,0.1523093,0.018590504
